transformation,n_test_points,mean,std,acf_lag_1,acf_lag_24,acf_lag_168,adf_stat,adf_p_value,kpss_stat,kpss_p_value,selected_for_modeling
diff_1,17520,0.18864155251141554,1344.138537296514,0.8523726704281509,0.91936862235952,0.9144715745061615,-24.554517539394784,0.0,0.003012571271539999,0.1,False
diff_24,17520,3.837214611872146,3066.782218304674,0.9845433538437798,0.013134902467526514,0.25773426349373824,-23.892616808490935,0.0,0.016296810058655284,0.1,False
log_diff_1,17520,5.580024898286788e-06,0.04355146498809951,0.8511674112244955,0.9244399923128181,0.9343515205717546,-24.772410076633374,0.0,0.004247980642839313,0.1,False
log_diff_24,17520,0.0001009909370641492,0.09502066834578152,0.9841522400552042,0.010615028447648167,0.2995569578952631,-24.375134175089368,0.0,0.015489082370364579,0.1,False
diff_1_diff_24,17520,-0.011986301369863013,539.2029877039867,0.7546795562937314,-0.17725470179018185,0.3764570201306792,-26.343169414393127,0.0,0.0008512402900409934,0.1,False
log_diff_1_diff_24,17520,-9.201166035095901e-08,0.016916677481321838,0.7412954934926581,-0.1663718101883977,0.4496203030071578,-25.945793751759997,0.0,0.0008339942695083497,0.1,True
log,17520,10.32699239860804,0.1958654637760833,0.9752847154797959,0.8820898104006502,0.7294906342995046,-7.981535266838751,2.6154431412184154e-12,0.4315219426434721,0.0635681281709172,False
raw,17520,31149.254366438356,6334.038949142235,0.9774886350324334,0.8825170961287885,0.7031907662999045,-7.888018089634799,4.5146993460133265e-12,0.43613151090047564,0.06158124530151913,False
