label,order,seasonal_order,aic,bic,hqic,llf,n_params,ljung_box_pvalue_lag_24,fit_seconds,converged
sarima_211_111_24,"(2, 1, 1)","(1, 1, 1, 24)",39924.97272554317,39960.65879697098,39937.84728413215,-19956.486362771586,6,1.436180262001588e-150,12.105979542000114,True
sarima_111_111_24,"(1, 1, 1)","(1, 1, 1, 24)",39966.35927696415,39996.09766982066,39977.0880757883,-19978.179638482074,5,1.3326760120170988e-125,9.329064749999816,True
sarima_121_011_24,"(1, 1, 2)","(0, 1, 1, 24)",40062.57003237498,40092.30665751006,40073.29838634955,-20026.28501618749,5,2.560558665015665e-82,7.2490447079999285,True
sarima_211_011_24,"(2, 1, 1)","(0, 1, 1, 24)",40090.778381397104,40120.516774253614,40101.507180221255,-20040.389190698552,5,1.2144317977197715e-111,8.592770458999894,True
sarima_111_011_24,"(1, 1, 1)","(0, 1, 1, 24)",40123.687360491036,40147.47807477624,40132.270399550354,-20057.843680245518,4,9.403090884479291e-88,6.552065374999984,True
arima_baseline_211,"(2, 1, 1)","(0, 0, 0, 0)",44202.37851650227,44226.23652995648,44210.97847321483,-22097.189258251135,4,3.6855245149598755e-140,0.13989270899992334,True
