lag,acf,pacf,significant_acf,significant_pacf,suggested_signal
1,0.7636219041614662,0.7636219041614664,True,True,shared_acf_pacf_signal
2,0.41344249761595897,-0.4070122547818323,True,True,shared_acf_pacf_signal
3,0.16666223232531932,0.09560249273654872,True,True,shared_acf_pacf_signal
4,0.031506183528764053,-0.04731025936677892,True,True,shared_acf_pacf_signal
5,-0.0492904372153199,-0.060237667513077,True,True,shared_acf_pacf_signal
6,-0.1001706715022672,-0.03008223524933128,True,True,shared_acf_pacf_signal
7,-0.12311927044065538,-0.02313367958208168,True,False,possible_ma_signal
8,-0.11803529039606274,-0.005966561526838668,True,False,possible_ma_signal
9,-0.06718184376706911,0.07488721279213241,True,True,shared_acf_pacf_signal
10,-0.017596462643311734,-0.042184720905800825,False,True,possible_ar_signal
11,-0.005468310362836691,-0.03283478538600508,False,True,possible_ar_signal
12,-0.015203327153565562,-0.0037717351821988966,False,False,weak_signal
13,-0.020341434567464033,-0.0008799814598552456,False,False,weak_signal
14,-0.015642701666903038,-0.00038518510716755534,False,False,weak_signal
15,-0.013279198639195909,-0.013001102124329386,False,False,weak_signal
16,-0.0075800899648314915,0.018402895335045296,False,False,weak_signal
17,0.012697916050900884,0.03983431585989118,False,True,possible_ar_signal
18,0.03835603307744169,0.009914443183637432,True,False,possible_ma_signal
19,0.04062546142163214,-0.03852865759826041,True,True,shared_acf_pacf_signal
20,0.018808061396886316,-0.014128379270613308,False,False,weak_signal
21,-0.025030628404828788,-0.05807668834611193,False,True,possible_ar_signal
22,-0.08061033747222353,-0.05490328178260789,True,True,shared_acf_pacf_signal
23,-0.13311186605960537,-0.056967110844750465,True,True,shared_acf_pacf_signal
24,-0.17806682783619465,-0.0716822725689438,True,True,shared_acf_pacf_signal
25,-0.14335741491290785,0.1447361960573114,True,True,shared_acf_pacf_signal
26,-0.12431225381512481,-0.20328930587761193,True,True,shared_acf_pacf_signal
27,-0.10834276322890428,0.0764494572927963,True,True,shared_acf_pacf_signal
28,-0.08001572837503447,-0.030900446234735743,True,True,shared_acf_pacf_signal
29,-0.04576323886384564,-0.014865920705049464,True,False,possible_ma_signal
30,-0.015298664441850237,0.006864606941480197,False,False,weak_signal
31,0.016508691187964233,0.028023094321136734,False,False,weak_signal
32,0.04229364715714565,-0.013532883877059672,True,False,possible_ma_signal
33,0.045021188694329424,0.01795637287674974,True,False,possible_ma_signal
34,0.03958768078352559,-0.011544639739744242,True,False,possible_ma_signal
35,0.019150013847047495,-0.052838642763119226,False,True,possible_ar_signal
36,-0.0198536551855944,-0.03308596261859658,False,True,possible_ar_signal
37,-0.05908745463203066,-0.02821303522325937,True,False,possible_ma_signal
38,-0.07004691368408551,0.020684009942751238,True,False,possible_ma_signal
39,-0.050683278985434364,0.010621836660458215,True,False,possible_ma_signal
40,-0.02766685407319019,-0.010210263839747729,False,False,weak_signal
41,-0.019739818604259135,-0.011943750555756779,False,False,weak_signal
42,-0.019734070444405807,-0.004039994821306928,False,False,weak_signal
43,-0.018970831308423156,-0.02793965092161344,False,False,weak_signal
44,-0.03410683951616839,-0.056002223022997406,True,True,shared_acf_pacf_signal
45,-0.07127716849753464,-0.07856446343300957,True,True,shared_acf_pacf_signal
46,-0.15529747898258908,-0.1824710140827306,True,True,shared_acf_pacf_signal
47,-0.2719397794342497,-0.1569155464200673,True,True,shared_acf_pacf_signal
48,-0.31938002967528806,-0.012692713527376772,True,False,possible_ma_signal
49,-0.23019464412267018,0.17452876520300106,True,True,shared_acf_pacf_signal
50,-0.08934687516753201,-0.10381689463884917,True,True,shared_acf_pacf_signal
51,-0.0005315708136158793,0.004310411035087524,False,False,weak_signal
52,0.040553204784787786,-0.009150142759224272,True,False,possible_ma_signal
53,0.06069851403024248,-0.024058328389383495,True,False,possible_ma_signal
54,0.07558400838165551,0.004528795059468491,True,False,possible_ma_signal
55,0.07327336747747595,-0.02035328718064262,True,False,possible_ma_signal
56,0.050570087663821095,-0.012347424577385,True,False,possible_ma_signal
57,0.017383003616021485,0.009587444781528303,False,False,weak_signal
58,-0.007172134754985094,-0.006650974944898527,False,False,weak_signal
59,-0.007946475068139317,-0.03039303778776692,False,True,possible_ar_signal
60,0.002132528285688612,-0.008620456142467682,False,False,weak_signal
61,0.011528832063703852,-0.007382253105992224,False,False,weak_signal
62,0.020530337093730144,0.011641160019858189,False,False,weak_signal
63,0.03524874879866909,0.0049905631241739645,True,False,possible_ma_signal
64,0.040756586979834926,-0.01673106883110352,True,False,possible_ma_signal
65,0.031776081391664705,0.014390493528634309,True,False,possible_ma_signal
66,0.015221447077971918,-0.014678027648284566,False,False,weak_signal
67,0.004601930283269887,-0.012682455856152328,False,False,weak_signal
68,0.011262841248608615,-0.020570806976889174,False,False,weak_signal
69,0.014019957804799199,-0.060975667303258256,False,True,possible_ar_signal
70,0.01308805170755246,-0.05182428110784804,False,True,possible_ar_signal
71,0.006370506952021963,-0.0780814817342253,False,True,possible_ar_signal
72,0.002183516332060317,-0.018309193203361353,False,False,weak_signal
