Datetime,forecast_mw,lower_95,upper_95
2018-08-03 01:00:00,398.93471490777176,-159.53172678398118,957.4011565995247
2018-08-03 02:00:00,403.4350190143604,-440.0951938764961,1246.965231905217
2018-08-03 03:00:00,313.43760938588133,-630.1892685437701,1257.064487315533
2018-08-03 04:00:00,115.53987951797515,-854.9223390799032,1086.0020981158534
2018-08-03 05:00:00,-5.596666428535201,-981.5202485617373,970.3269157046669
2018-08-03 06:00:00,-205.19496190150628,-1181.9153493726294,771.5254255696168
2018-08-03 07:00:00,-255.84006500899847,-1232.6283763359208,720.948246317924
2018-08-03 08:00:00,-213.44486743851968,-1190.2340843229115,763.344349445872
2018-08-03 09:00:00,-81.9178483686545,-1058.7080172574358,894.8723205201269
2018-08-03 10:00:00,-120.54435267267783,-1097.3356196170098,856.2469142716541
2018-08-03 11:00:00,-273.7844688669754,-1250.576212143757,703.0072744098061
2018-08-03 12:00:00,-84.31246991561989,-1061.1043473522222,892.4794075209824
2018-08-03 13:00:00,-72.0344681818934,-1048.8263729038526,904.7574365400659
2018-08-03 14:00:00,8.934533037930358,-967.8573755908722,985.7264416667329
2018-08-03 15:00:00,136.69656425294647,-840.0953446948338,1113.4884732007267
2018-08-03 16:00:00,488.4970177689484,-488.29489118196017,1465.288926719857
2018-08-03 17:00:00,444.9420227053995,-531.8498862511132,1421.7339316619123
2018-08-03 18:00:00,114.71481449181425,-862.0770944705778,1091.5067234542064
2018-08-03 19:00:00,150.0044235380264,-826.7874854268407,1126.7963325028934
2018-08-03 20:00:00,112.33894939035874,-864.4529595751922,1089.1308583559096
2018-08-03 21:00:00,-132.6502873511703,-1109.442196316858,844.1416216145172
2018-08-03 22:00:00,170.90825147251417,-805.8836574931926,1147.7001604382208
2018-08-03 23:00:00,147.439564247703,-829.3523447180053,1124.2314732134112
2018-08-04 00:00:00,44.772051325407176,-932.0198576403011,1021.5639602911153
